SModelS_status Analysis Disp MT_displaced_xsec THSCPM1b Tx Tx_weights file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 3.5269877230069424e-10 THSCPM1b,THSCPM2b "{'THSCPM1b': 3.5269877230069424e-10, 'THSCPM2b': 2.322776427080329e-11}" IDM_mhc_940_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.759e-10 1.584e-05 940.0 0.09177 1[N1,mu-]
Excluded CMS-EXO-12-026 0.0 3.054 52.78511476883433 THSCPM1b "{'THSCPM1b': 52.78511476883433}" IDM_mhc_140_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 52.785 0.006309 140.0 1777.72 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 91.954 54.549061253510445 THSCPM1b "{'THSCPM1b': 54.549061253510445}" IDM_mhc_160_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 54.549 0.0001258 160.0 26.81 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.5555312537103609 THSCPM1b "{'THSCPM1b': 0.5555312537103609}" IDM_mhc_820_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 0.5555 0.6309 820.0 4801.142 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 3.666 4.485654685418762 THSCPM1b "{'THSCPM1b': 4.485654685418762}" IDM_mhc_400_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 4.485 0.0005011 400.0 16.174 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01694 2.3335336693499134 THSCPM1b "{'THSCPM1b': 2.3335336693499134}" IDM_mhc_640_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 2.333 0.03981 640.0 498.3 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.07187587851745122 THSCPM1b "{'THSCPM1b': 0.07187587851745122}" IDM_mhc_920_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.07187 0.01258 920.0 76.188 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 3.996 128.65129993653284 THSCPM1b "{'THSCPM1b': 128.65129993653284}" IDM_mhc_160_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 128.651 0.003981 160.0 846.896 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 2.8669001361469237 THSCPM1b "{'THSCPM1b': 2.8669001361469237}" IDM_mhc_620_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 2.866 0.7943 620.0 10608.976 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 23.376 40.544665568906524 THSCPM1b "{'THSCPM1b': 40.544665568906524}" IDM_mhc_240_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha.py 40.544 0.0002511 240.0 23.025 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3831 0.0397 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.3831579916944471}" IDM_mhc_820_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.3831 3.162e-05 820.0 0.2406 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.04982 120.80027683945369 THSCPM1b "{'THSCPM1b': 120.80027683945369}" IDM_mhc_220_mn1_0.19952_dm_5_la2_0.01_laL_0.01_.slha.py 120.8 0.1995 220.0 21876.603 1[N1,mu-]
