SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Non-excluded ATLAS-SUSY-2016-32 34.5 79.054 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM11': 0.0006526506521030276, 'THSCPM1b': 7.847767544108066e-05, 'THSCPM8': 4.695828052547171e-07}" IDM_mhc_180_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0007315 6.584381e-05 3.162e-06 180.0 0.5262 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.1197 0.1128 TSelSel "{'TSelSel': 0.00021248058816572305}" IDM_mhc_860_mn1_1e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0002124 0.03305671 1e-06 860.0 0.006923 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0526 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 0.0007116711058919532, 'THSCPM11': 0.00155057622132278, 'THSCPM8': 0.00014610025886370228, 'THSCPM2b': 4.429634205719081e-07, 'THSCPM9': 1.3976215589069978e-07}" IDM_mhc_960_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.002408 0.0001927144 0.0006309 960.0 3.498 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01077 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.042714419696789935, 'THSCPM11': 0.12426248595212945, 'THSCPM8': 0.008776134133749782}" IDM_mhc_920_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 0.1757 0.01406024 0.01995 920.0 120.321 1[9000006,11]
Non-excluded CMS-SUS-17-009 1.766 0.7562 TSelSel "{'TSelSel': 0.00012702966804956098}" IDM_mhc_600_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.000127 0.2276237 1.584e-06 600.0 0.02257 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.6251 0.3031 TSelSel "{'TSelSel': 4.555490862322178e-06}" IDM_mhc_720_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 4.555e-06 0.08911638 7.943e-06 720.0 0.07861 1[9000006,11]
Non-excluded CMS-SUS-17-009 5.35 3.707 TSelSel "{'TSelSel': 8.03569016392441e-06}" IDM_mhc_420_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.035e-06 1.183801 6.309e-06 420.0 0.1844 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.1176 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 40.45619194351793, 'THSCPM11': 29.87931430696663, 'THSCPM8': 5.734212166140729}" IDM_mhc_180_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 76.069 6.846275 0.07943 180.0 13243.42 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.03938 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 7.163731542726694e-05, 'THSCPM11': 0.00016967848792688592, 'THSCPM8': 1.4031895414822017e-05, 'THSCPM2b': 7.666771479052766e-08, 'THSCPM9': 2.1149744873581903e-08}" IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.0002554 2.043564e-05 0.0003981 1000.0 2.034 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.06749 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 4.166580555435607e-10, 'THSCPM11': 8.833704437817918e-10, 'THSCPM8': 3.409717399402921e-10, 'THSCPM2b': 3.166424257346578e-11, 'THSCPM9': 6.5267674390538945e-12}" IDM_mhc_940_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.679e-09 1.343353e-10 3.162e-05 940.0 0.1827 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.0631 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.8853835926196538, 'THSCPM11': 1.899648004877543, 'THSCPM8': 0.194147926153617}" IDM_mhc_540_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 2.979 0.2383344 0.01995 540.0 351.741 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0004999 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.19656383886315332, 'THSCPM11': 0.5181952086351207, 'THSCPM8': 0.0448913911849034}" IDM_mhc_740_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 0.7596 0.06077204 1.0 740.0 9351.988 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.07572 0.1307 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 7.208723763089817e-06, 'THSCPM11': 1.2621386555952205e-05, 'THSCPM8': 1.4759136052695636e-06, 'THSCPM2b': 1.5236779469498668e-08, 'THSCPM9': 4.23397860777234e-09}" IDM_mhc_840_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 2.132e-05 2.132549e-06 0.0001584 840.0 1.147 1[9000006,11]
Excluded CMS-EXO-13-006 0.0 0.05311 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 20.971382181393178, 'THSCPM8': 6.86517615267974, 'THSCPM2b': 2.4486611773983753e-07, 'THSCPM9': 1.8961567046716825e-07}" IDM_mhc_100_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 27.836 28.39329 0.3162 100.0 181033.911 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01426 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.15392302138084404, 'THSCPM11': 0.4151736436726722, 'THSCPM8': 0.033279509410912886}" IDM_mhc_760_mn1_0.031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.6023 0.04819009 0.03162 760.0 280.293 1[9000006,11]
